idade,data,estado,salario,nivel_educacao,numero_filhos,estado_civil,area_atuacao
58,1966-06-16,Santa Catarina,10199.15,Graduação,1,Casado(a),Educação
21,2002-08-25,Distrito Federal,15300.87,Ensino Médio,4,Casado(a),Saúde
41,1983-01-22,Tocantins,3991.91,Pós-graduação,3,Solteiro(a),Engenharia
51,1973-06-01,Piauí,17739.1,Graduação,5,Viúvo(a),Educação
37,1987-02-03,Acre,16339.15,Mestrado,2,Solteiro(a),Marketing
46,1978-06-10,Pernambuco,14418.47,Ensino Fundamental,4,Solteiro(a),Direito
53,1970-08-23,Rio de Janeiro,11766.12,Ensino Fundamental,1,Casado(a),Finanças
32,1992-04-25,Pará,14464.92,Pós-graduação,2,Divorciado(a),Tecnologia
27,1997-06-03,Amapá,10158.55,Ensino Fundamental,1,Solteiro(a),Educação
37,1987-08-10,Paraná,18338.17,Doutorado,0,Divorciado(a),Engenharia
28,1996-02-09,Rio de Janeiro,18829.94,Mestrado,2,Solteiro(a),Tecnologia
59,1964-11-10,Amapá,3303.1,Ensino Fundamental,1,Divorciado(a),Marketing
22,2002-07-19,Espírito Santo,13772.7,Graduação,4,Casado(a),Direito
18,2006-07-25,Piauí,2950.8,Mestrado,5,Divorciado(a),Direito
38,1986-01-03,Amapá,13771.12,Ensino Médio,1,Solteiro(a),Engenharia
43,1980-10-27,Rio Grande do Sul,16892.2,Mestrado,1,Viúvo(a),Tecnologia
44,1980-01-28,Alagoas,10633.75,Ensino Médio,4,Divorciado(a),Finanças
37,1987-07-16,Rio Grande do Norte,13577.42,Doutorado,3,Divorciado(a),Tecnologia
55,1969-06-20,Amazonas,2904.18,Graduação,4,Solteiro(a),Tecnologia
25,1998-09-08,Distrito Federal,13902.71,Ensino Fundamental,4,Divorciado(a),Saúde
43,1981-07-17,Santa Catarina,2380.01,Pós-graduação,4,Viúvo(a),Finanças
20,2003-09-15,Rio de Janeiro,17843.94,Mestrado,2,Casado(a),Saúde
41,1982-11-09,Minas Gerais,8024.74,Pós-graduação,5,Divorciado(a),Educação
31,1993-07-21,Bahia,9827.59,Pós-graduação,5,Solteiro(a),Educação
44,1979-12-20,Tocantins,11468.44,Pós-graduação,1,Viúvo(a),Direito
23,2000-09-22,Minas Gerais,8097.05,Doutorado,4,Solteiro(a),Engenharia
20,2004-04-08,Rio Grande do Norte,4775.1,Doutorado,4,Viúvo(a),Direito
59,1965-03-20,Pernambuco,17335.38,Pós-graduação,3,Divorciado(a),Direito
22,2002-02-02,Pará,13298.26,Ensino Fundamental,5,Viúvo(a),Direito
59,1965-07-16,Minas Gerais,13390.03,Mestrado,4,Divorciado(a),Educação
50,1974-04-17,Distrito Federal,3379.75,Graduação,0,Viúvo(a),Saúde
46,1978-02-05,Maranhão,10041.29,Ensino Médio,5,Viúvo(a),Finanças
59,1964-09-01,Distrito Federal,12080.4,Graduação,2,Divorciado(a),Direito
24,2000-08-09,Pernambuco,13812.24,Pós-graduação,5,Viúvo(a),Engenharia
54,1970-01-28,Bahia,6064.84,Graduação,0,Solteiro(a),Engenharia
58,1965-10-12,Rio Grande do Norte,13210.14,Pós-graduação,4,Divorciado(a),Direito
37,1987-04-14,Acre,13016.64,Doutorado,3,Viúvo(a),Direito
45,1979-05-10,Paraíba,13253.39,Pós-graduação,1,Viúvo(a),Marketing
24,1999-12-16,Paraná,14527.18,Ensino Médio,5,Casado(a),Saúde
